# key|value
41814|9094
86010|13329
85177|7725
3390|12508
40156|11568
20623|10632
53694|10926
82027|11368
14212|13497
43039|8301
76212|8919
75884|14801
2053|11681
2752|13468
39105|11571
48380|13058
13771|9685
57382|12659
7001|9476
72318|11525
69385|6526
856|10921
51507|9291
18950|11572
24352|10078
74636|8242
3578|6386
38278|10558
11769|11299
15646|11394
64571|6565
58673|8215
58429|3596
46282|10758
96190|9859
87869|11595
57443|8524
24336|7288
75345|17863
39782|12932
31665|10108
74800|11645
10279|9015
99245|9827
75636|11569
81926|6236
84360|8261
19831|11325
89918|9526
50052|11461
71|10461
48779|10000
74292|11189
78669|9444
39624|9148
67277|11575
34572|8025
7841|12447
8550|12500
60829|12909
44436|13460
24205|12154
29815|11113
7212|9777
90745|11652
74146|3568
39204|11448
76180|11819
30204|9958
29730|7107
18136|9127
66658|8567
72186|9873
3267|6694
80907|3153
97512|7565
87481|11147
12266|10365
63201|17584
89791|9059
53568|7089
88911|10296
97922|9140
84236|11079
64335|13860
54560|11647
96831|8469
80857|12461
59419|8531
40508|10503
18734|7218
85079|9269
67788|13122
55053|11628
10535|10427
70663|9200
7294|8606
84450|11106
909|8652
97756|12832
70606|8578
57245|8642
367|10652
42616|11530
39455|9094
99243|11344
44179|13093
28287|8093
9902|11891
69869|9287
74487|11883
35325|10524
59350|9091
34738|10853
98628|8668
49269|11289
72455|10827
90113|8486
90022|7957
75949|10611
47141|11690
59229|11322
6690|10591
71835|6650
22482|16538
65|10972
55017|10689
52906|9449
86609|11995
54307|7261
17458|10864
97497|10087
38751|13818
42953|13288
33898|9131
79551|11372
98098|7771
6568|8234
33190|8573
95405|8231
72388|11543
45045|8533
72755|13331
60436|10109
69200|13349
32548|10058
66846|11073
67726|11960
46456|9973
70264|6017
70318|11043
65004|8739
4084|8558
88535|7053
15813|8837
92553|9614
9272|7966
29210|6848
93193|15921
5637|11803
42479|11823
65636|8676
28121|9830
36933|8953
732|9235
78258|12474
5265|6351
28087|7947
73204|9365
14388|8197
92672|7832
97267|6342
57859|11500
45106|9336
559|9704
60331|7298
50732|11483
6078|10572
45983|8958
49197|6408
48104|11821
50594|8799
12460|9122
27822|8020
86061|13318
34186|9220
15723|8219
83575|9049
58226|10100
95320|7102
63759|13569
5484|10900
67161|18456
24413|6249
80481|11729
24581|9389
13561|12456
9128|4969
46606|9638
48829|12767
91608|9657
5262|10620
28079|10051
34903|9593
43818|9690
17001|8591
1175|8247
2538|12034
42834|9469
44366|10823
78020|8640
5994|2066
69423|7022
45982|9702
48741|7572
60096|8446
33333|13067
78513|11455
28097|9787
58608|7702
25331|10266
24487|8427
19642|9451
50519|12919
62677|11764
56411|7316
88452|9810
78031|12968
71532|2634
57391|9441
99429|11629
264|8116
39382|8706
73265|11650
89046|10525
84598|9575
24193|11176
62978|12046
15595|9452
85252|13871
79292|11722
63607|6951
22655|10918
38449|10102
44682|9284
1978|10727
455|11339
18330|7121
34083|9794
99694|8881
77847|10346
21413|9871
40016|12022
5858|10513
86764|7210
4919|6017
18848|13626
70140|9161
8554|7186
62554|10041
35832|13999
41192|10090
48128|10036
99309|4122
66293|9007
26663|10248
16338|11540
77249|9940
99569|10717
77301|11587
82936|11306
2962|8396
27387|9491
18682|6944
62890|10191
8226|9697
83548|9417
21753|10942
31745|13141
67857|8526
53185|10901
45288|8431
4352|13842
57792|11926
66664|11360
69483|13570
51416|11693
75632|7118
39552|8321
46799|13868
5888|9377
60774|7111
91468|9197
97876|9057
7347|9944
30043|9246
44527|8032
16808|11927
93323|8858
42522|8348
88483|16972
54427|10158
79973|6405
20204|9250
67548|12165
57803|8190
34459|8945
43728|13547
76120|7415
50412|12452
71113|10727
26887|8694
55382|6863
93161|12118
53257|10354
42182|10220
94119|12933
37610|11696
25689|12384
57371|9743
1977|6278
71574|9284
7956|9246
81693|6843
12017|7090
24727|9679
37689|13407
55860|9324
34899|11162
99199|11364
50495|8119
98772|7182
85107|6584
64361|10031
97250|7565
96020|7199
24661|19356
47060|11766
52361|6756
50266|7067
64433|8202
53822|10154
69120|9538
51126|6951
56538|8975
85926|8438
4592|11630
84325|9100
36418|7608
11014|9992
86176|13251
40500|11618
80831|8707
24219|13268
13134|9532
16638|8179
53005|7840
65552|8407
26135|9205
67244|9588
15558|11562
10720|11504
86607|6862
50314|10482
2196|11674
59909|1746
33973|9898
11399|12627
11486|8728
80878|9488
35557|13413
44154|8564
81074|11630
80480|11855
35954|9359
40150|6700
16413|6466
50913|10774
44814|7033
64010|11498
59279|10311
20335|8529
36625|10678
47604|7163
2877|8780
34644|10324
19183|9688
6439|10672
4764|10611
9493|7679
47859|11909
27138|9642
94267|11432
47729|9349
44706|8170
41991|9372
84817|7882
98810|17899
50633|12072
41500|8292
90197|11134
21581|9386
95632|9029
71898|8448
48102|10894
26922|10695
66786|11494
82494|9162
78098|11912
17906|10772
45466|10708
55411|9648
77314|6399
90489|11173
41675|498
43572|8019
3181|6768
32883|10644
57179|10985
99358|6874
19697|8965
19709|11202
9953|6730
93521|11605
38539|9505
58667|9416
55451|9602
74992|7499
34963|11583
46477|12877
38769|9735
45061|11608
94479|9608
11547|9753
1993|12182
47792|13547
26742|11351
662|7573
10945|12086
68500|9883
98343|11382
65557|9589
54923|13201
99340|13343
21358|10267
2929|8655
1169|12698
12491|10743
94392|7582
38574|9943
87760|10674
22163|10360
31348|11581
51247|8127
20540|11782
8558|18271
41316|11392
20984|13172
534|13116
66289|10564
75065|9461
35846|13081
28052|13742
5656|11568
9491|11340
16630|10351
25017|11601
52554|10623
29342|13347
48395|10083
35432|9986
35016|11827
83874|8096
32607|11846
32390|9306
74259|6659
58908|11625
53853|10427
39815|11647
47205|11082
750|11328
40495|8454
85010|13508
26393|8840
19746|11526
26785|8279
23284|10385
27970|12149
66967|10623
51723|6494
44875|8682
62501|9408
46340|10239
7974|13488
75440|11486
22300|7245
30533|9711
86712|10583
5820|8225
47630|11636
66318|8794
76209|9278
83244|10821
34046|11493
27206|6311
48349|13585
28729|8739
26261|13059
15354|8764
28288|13911
31267|8908
52788|9222
98328|11127
60316|11992
91052|7207
16373|8239
18212|9064
67849|8189
53279|9768
2568|10321
4682|8442
85797|6641
18834|10804
15923|12801
46535|12818
47483|12008
18591|10553
44745|6864
19575|11224
75490|10605
49117|8592
68764|11268
37500|1745
99851|13421
77491|11210
90351|13255
7215|10980
85360|6591
32240|13438
68006|10911
14535|11617
96823|12890
68603|9277
38462|11377
21202|8872
8512|9198
51886|12617
78958|13072
36609|9358
48994|9290
28589|10728
88615|8959
86218|10770
76345|12131
29653|10099
39033|8851
88509|8570
26629|12267
81685|8537
91393|8598
85647|9792
95176|9887
67584|8654
5431|9865
39017|12481
96510|9654
84464|6575
39361|8118
86532|10292
7601|11852
57652|11652
33704|13997
9502|9513
66370|8343
46998|6936
84638|13084
80096|11342
10227|8898
23151|9742
41356|9140
69779|6404
9524|8451
77898|6391
7381|11696
81332|13824
78963|10165
27162|9709
10788|10270
29788|9775
19721|9516
2438|11508
34369|7167
9094|2683
16209|9196
43903|13935
24517|7576
680|8830
79226|10869
41845|9957
43074|10059
73588|9260
7214|11369
73881|11021
50523|9625
50810|10279
64234|10302
27354|3375
45063|12568
33934|6848
35529|6370
87803|11267
88481|8144
62553|11775
93427|10590
45973|11755
42863|10239
25296|10382
11595|9730
92347|7986
5196|9684
43027|5947
20440|7359
7375|13838
3104|9207
78724|8382
83127|8982
85202|11578
74574|11529
80097|9722
82773|12998
32150|10778
81396|11901
85960|13589
86372|11482
50173|4131
66187|8549
23665|11060
92377|12896
25701|9219
71150|10748
11580|10814
80470|16493
13566|9121
79310|13499
90512|8899
97361|12957
81767|8108
56473|10933
67690|11093
43941|10288
97416|10634
79453|9588
16389|13184
12918|8826
18172|17600
65380|9352
38377|15205
98566|6708
95526|6144
90125|8802
64203|11119
57342|9528
16456|8489
51689|13237
20536|9093
3449|6128
26594|6700
75902|11244
45731|11108
85973|10669
52112|12165
89463|7351
95120|8897
24554|7530
91743|10149
95776|9698
81045|9168
70675|8267
86576|12724
59313|8773
36056|13178
37934|9393
74853|9003
76417|8947
82907|13062
40017|9238
52643|9373
75743|11928
20420|10947
79003|7064
65012|11462
90865|10806
81513|8271
26900|10224
86129|12533
48362|11876
19087|6440
58952|8497
80663|11509
39721|11388
56734|9570
90947|8869
46813|6538
14686|11182
79293|11997
32332|8857
95118|6635
9960|8162
10950|11988
65227|10230
4424|6006
8905|7488
9366|11371
57998|11710
26498|10121
46172|9850
47409|8995
27283|13058
1097|10774
46898|8422
90347|12720
79243|9276
33907|13392
5910|11980
33602|9674
51811|7450
72205|10099
79302|8969
14229|10158
93864|6565
56278|1835
16747|11358
88103|11727
64670|11503
35737|12275
79140|8029
24996|7688
34469|8588
79446|9698
84981|10781
22652|7271
52547|10071
3624|8629
44917|10150
14745|6692
65621|5379
67695|9040
69895|12394
79959|9467
52154|9551
20210|10029
66081|11166
56352|9060
76259|9621
74383|12710
31883|6855
5878|8538
93723|6810
33728|12070
49427|11495
96409|9370
68530|9428
73537|8740
89112|12896
36333|8469
34961|16019
43905|10273
16246|10653
18911|11670
44243|6302
17192|11715
78706|11268
81596|7020
45994|11316
9159|11958
40623|9563
71046|8881
12112|9563
98513|6328
94334|8565
17489|9758
88119|12095
70761|9264
95282|10060
93146|11244
58062|17887
17134|10605
75479|11014
3206|13455
69599|6283
54734|14845
25410|12185
24692|10092
26018|8376
41904|11419
34287|11821
25641|9479
99907|11251
23383|13116
23761|8313
35|8962
87624|10860
73293|6737
67299|9646
33970|9206
19589|12204
83203|10776
15368|8931
90847|10182
75120|13371
94820|8583
48303|11908
64927|11265
24080|11186
9098|13538
41838|9092
97653|9192
42506|13335
33908|6704
67198|13112
79755|8502
87198|9222
47884|11684
65254|11356
70704|8040
30783|11735
81320|11367
36653|9342
3951|9317
10296|9677
70114|12329
8025|6661
38821|11540
23115|11583
57960|10340
69128|11984
7397|8568
55042|9321
87580|10090
4189|9805
88785|10162
72743|9001
78343|6532
46355|8970
97481|8601
79643|10787
85722|7856
37332|10632
14777|13001
24500|14278
30052|13027
46239|9854
40395|9231
50097|11174
15699|8314
48720|10193
29317|7598
49860|10470
50555|9644
14627|8192
31621|9492
60269|13275
14876|9215
76618|9066
26141|10418
90209|12569
39203|9281
12311|11605
13107|11130
73892|10405
98452|8199
2000|7246
37269|13292
58073|17773
45564|6046
71917|11723
81588|11795
11760|6485
58909|5711
13674|8678
34190|19617
37190|10840
20032|11615
87458|12520
34373|8526
32569|9311
62094|9667
66055|11141
99859|5050
50252|10674
41393|13762
48214|9420
86232|10528
14691|10491
17462|10090
30525|13038
34150|12333
68831|10907
47330|12840
44479|12487
17738|11464
63634|12962
34007|7174
93508|10620
81273|13886
34327|13401
38886|10124
71183|13632
88607|9632
91860|6660
81656|8076
87137|9899
64236|9796
61833|6399
58839|11941
75948|8247
55611|8790
92913|11886
3667|6208
53787|11748
60694|9944
26981|9198
81465|8672
10275|12412
73887|11264
91973|8858
62101|10360
75586|9155
62812|4460
98057|11157
50623|17263
87615|11272
73127|9305
6863|8159
53755|12818
43409|10507
89868|8189
28178|4785
50840|8612
69010|10359
40975|9644
23553|6873
44255|9858
68815|10713
86657|10547
53188|8023
56458|6584
45532|10687
14054|8706
81381|11249
13137|9166
82853|8548
1497|12142
15738|10536
20022|13359
60618|9193
8541|9110
82770|12074
34428|10393
11349|12038
12386|12992
77027|8185
70561|54
51480|8575
28944|13856
16127|13889
65536|9953
44906|8868
97885|19903
42406|13406
21453|8173
85419|9396
96955|10347
51137|11516
54609|8014
71020|8639
76409|13659
68307|13803
80197|13764
27596|8849
63110|8864
15170|9577
79354|9233
92158|8420
72556|8146
53825|9587
2762|8224
70524|8116
51153|9608
36808|6233
37007|8719
31461|9693
16699|9716
12173|9910
96875|11499
90000|10940
70595|8767
29962|11084
93113|8789
16662|11281
26487|9533
4147|6911
79091|8284
25143|11071
95820|13149
25841|9065
33041|9211
31451|13368
12502|11769
50931|9037
91360|12827
61023|9204
53924|6742
40982|10139
59930|11721
80765|12007
33790|8239
36975|9185
2869|10443
43636|11229
70071|8807
13976|12240
86260|12383
39229|12122
60909|12777
46160|8486
16526|11916
73298|8165
92073|10361
88510|6657
8966|10871
34744|12839
20246|8771
33364|8456
76010|8874
96286|8244
40217|11733
74978|8395
73034|9748
16611|13479
56478|11037
85987|9647
25188|6525
72791|10958
66316|6640
90208|13124
67059|11540
30542|10430
13333|11372
82302|12943
60064|7624
4308|12810
24310|6632
84945|13360
66831|9831
30472|10799
94298|19653
69223|12475
86588|12141
95356|7175
85018|6527
65271|10983
91784|9511
6472|11169
93887|9944
37468|8811
13571|5190
51823|11991
34525|10327
61463|8509
20305|9557
62409|8319
2958|11321
23885|10263
64619|10299
83273|2828
16282|11951
67674|7183
37696|16551
21294|10970
30890|11518
4784|12317
17981|11946
82496|11459
38333|9630
11304|9754
85466|109
35226|6024
43501|8287
15915|9845
13219|11891
68301|8945
41971|6936
25558|8876
63169|8954
97764|11127
75434|12705
19339|8587
47873|9083
38149|11154
35787|10952
8620|7388
21325|10588
10407|12445
60458|8428
4054|7059
59356|12313
52397|9582
47059|9981
47381|8619
93252|10251
75849|10488
30309|13826
83588|10137
97025|13110
87409|11512
30866|10363
72947|11128
35275|9486
22282|10415
66872|7128
29652|9672
44385|9617
21985|8645
89750|15310
39643|16850
89505|8103
53247|9559
76857|9855
4299|8290
87883|18132
47770|9184
53425|9509
96318|8070
25488|9798
42398|10164
25116|12328
98707|10086
42765|13953
91792|9868
2767|9946
95359|9757
5052|9036
83942|8285
30420|10262
42417|7505
92746|9768
93942|9368
3902|11962
73971|7244
19959|9596
99988|10056
13806|12152
90214|10715
23986|10853
73874|9841
50480|11783
54573|10943
63471|10766
25849|9304
64047|11576
99791|6016
24168|11618
86038|12631
90228|13952
53636|13336
54618|8158
56047|6396
54138|7859
5180|11806
92586|10513
20052|8349
78971|6659
51727|9669
2310|8935
5233|10344
74532|7342
52126|6505
67635|8583
98520|10057
24306|6892
18061|10048
38680|10859
15809|6101
76806|6096
90627|8225
51955|6300
91670|8298
59451|9832
20199|9969
69572|9178
72311|11161
74295|9631
60290|10726
10398|9500
82473|11666
440|12461
2253|9650
5735|13827
83212|10140
94684|8287
79499|10949
1451|8742
99629|10885
99568|9373
50652|11578
95661|6473
14169|10215
22224|9816
67618|17054
2896|8521
38456|9979
87472|11978
99236|9177
83867|9520
26993|10129
92146|10875
9935|8927
80069|9268
23358|15748
978|8761
11951|5467
9959|8762
61322|10891
84265|9934
82315|6112
59343|11769
27868|3463
8009|11450
90976|8069
12045|749
36426|13686
8270|8954
10222|9272
33743|8177
96139|11029
19595|12972
26774|12962
43560|10878
60409|10592
55896|9147
69487|8584
60592|7138
4639|8345
95518|11454
85357|8615
65248|8881
10438|8218
45358|10828
91900|13591
82630|8059
45742|7855
55202|13576
20454|11762
61610|9063
71807|4518
35855|8291
390|6663
54949|13108
73358|9488
94790|8815
27812|8773
25988|12260
61033|13070
44029|11345
27548|8081
89095|9433
50575|7954
73206|8519
66893|9259
52009|9897
20477|7587
13643|8962
41873|11249
23362|10758
66418|11125
60103|9077
79676|11329
73515|9151
81828|12564
53367|18156
79549|10508
94680|9339
10137|10497
84072|16223
47799|10225
90541|13490
93548|8160
82236|9274
87972|12483
30968|7895
32696|13038
85480|9577
31619|10629
6076|8093
3135|10416
5123|4391
88174|11605
63856|12423
49254|10866
79970|8003
16680|12990
30822|12528
20865|8747
56466|12004
73677|10650
97566|7135
8796|11036
35217|9685
13772|12775
86190|15458
80294|9890
89520|7401
18627|8994
66526|7295
4115|7889
29090|10721
698|11311
71341|9549
85325|10529
59204|12771
21017|10196
27705|12439
51437|10764
69988|11310
88076|9923
28801|7370
96715|13405
16379|11218
3926|11625
40892|9861
98334|9345
36693|11395
76750|13835
22844|8011
67484|9401
766|13926
4193|1173
22295|13034
89225|11279
7408|8182
59999|8932
64572|10927
12567|12652
40646|7929
6560|9976
47020|7341
20236|10712
54751|6229
51968|9930
63660|8485
67006|11247
89013|8261
39823|8472
43759|9483
16823|7174
3150|11204
32302|11623
24862|6771
20396|7530
20214|8989
6800|11550
53881|8533
18184|10541
72211|11761
74836|2024
32260|8698
49960|9344
13170|7008
56690|8632
36811|11729
17343|6951
77883|11267
62605|10373
31775|9097
73959|9222
95900|6862
43110|8399
36388|7094
32654|8891
23355|18009
28366|12846
7468|8493
73098|9531
67049|7884
87020|11776
7104|11192
4802|11832
45762|10178
10255|9649
80029|11613
68628|11018
2263|9232
48509|12236
66113|11335
8919|9862
39285|11443
95974|8069
68996|12143
72287|9140
50449|6583
97342|8322
44038|7021
24591|6027
46971|11522
98955|9065
48740|11207
97004|7796
50402|6300
3583|9274
26154|9078
99779|11408
9225|11120
75635|15051
66242|7318
10086|11125
91201|10634
32422|11354
78382|11824
84620|7437
39797|8575
5478|11949
5648|10448
37601|9392
67140|8560
6265|10741
55422|7328
29355|7284
10474|10941
48634|11655
57336|11687
65677|13499
1087|10636
12864|10735
62515|7650
63217|10791
94374|9678
92591|11507
41852|10239
6143|11839
14758|8417
40885|10821
54962|11333
93356|10522
83907|7209
55558|11130
39582|11774
2452|9752
90072|10913
91977|11237
87818|6401
81833|10562
92668|10061
5962|12897
20088|8373
34027|8606
8224|6715
64425|7009
55640|9043
38612|6885
58245|8816
60537|12630
21751|10691
5591|9824
25405|11090
50896|11974
36569|13646
18987|6323
58997|10722
30423|10757
99071|11966
64504|13615
50822|9357
2617|11042
59723|9788
14482|10528
95662|13157
78810|9791
65096|11258
59005|5551
14930|8207
92596|10873
75471|11199
29040|9910
3798|11655
11513|9787
6101|11837
59835|9173
63334|10222
94678|8547
27823|10382
73983|9022
4527|8973
96464|8849
8379|13906
95065|6598
97701|2679
37731|9319
1994|6456
47666|10526
61425|11513
65275|8548
296|11405
34678|8839
43162|9028
76170|12779
12467|8921
90236|8758
64303|10897
18410|10877
97184|10634
10941|8806
26421|12141
91287|8648
75233|9752
23794|7716
25287|9985
32339|11289
17506|8760
87810|10692
51087|11566
60400|9589
95945|7213
5800|8934
67961|12716
61484|11463
17387|11054
29514|10137
108|7993
50907|11934
4535|10656
96440|8067
85156|8517
33954|7606
39237|10702
14324|13982
52478|6215
99354|8607
4382|11499
64465|11356
87161|10962
56641|10166
6573|8669
45251|10201
19833|8149
69316|11354
87531|8390
8851|9969
50787|7384
90973|9797
15744|19578
89623|10353
8896|5418
18546|9030
52163|12925
93750|10604
62393|13511
60676|8170
68403|14381
34347|10106
87784|10710
48911|7548
43667|11133
89957|12640
96369|9432
40665|9502
338|10224
9915|8028
31003|7670
11252|9685
20127|8913
79999|10386
98054|13705
61298|13864
94493|9391
25304|10488
1804|9673
81577|10196
25721|9690
71769|10832
71002|9496
24139|10013
76442|10632
53888|7289
10990|6348
88407|5040
53857|8164
18597|12649
74335|10543
46124|10011
66785|13282
88724|6118
68395|9754
61092|8943
50742|7250
64439|9434
50083|10925
76008|11042
27951|13189
20158|6011
83915|11733
13013|8169
8840|8885
35441|10293
99816|13866
39899|13631
89106|7456
56377|7823
95784|10421
18073|10767
10289|11400
52926|10031
32216|17756
78964|8226
37464|4959
59707|10028
67753|6394
76613|7543
9362|8838
99743|13838
29761|7091
51561|8447
97488|9209
20508|12238
89569|6739
92190|9353
89696|9461
18907|9298
67336|11790
46296|10279
72723|11568
93365|8336
47690|11687
64992|11822
61822|9604
28362|6027
52622|6814
69590|12321
92109|8259
60294|8586
191|9528
575|7713
21888|8606
33251|10036
70124|13748
83181|11789
94019|7850
29686|11934
43631|11215
74018|6013
97699|9730
93366|7890
9287|8156
33263|8627
29798|6931
96436|8151
77837|11142
14354|11736
36447|11325
34610|11700
47319|6711
69076|13963
4936|6391
54013|13022
88339|8474
25692|8147
98352|12171
31499|12716
86842|11758
42363|8174
95161|8407
41442|11305
50894|10650
26970|6460
8663|8623
96114|9674
75914|8501
17029|10332
13036|11693
82682|12588
47774|2315
7620|10006
99239|12053
7308|9952
14692|8776
69341|11708
96090|12485
81208|11342
56372|9695
85865|9357
55205|8669
60435|11570
85175|9232
81622|12401
78026|17289
349|7194
28579|9057
12895|12345
9621|10314
71970|13018
37335|13504
10453|13365
4619|8810
17076|8913
74527|12024
57400|9817
11568|11234
89200|18833
46295|7537
37186|8817
55994|8328
86046|8560
30546|11110
59188|5148
5230|8554
71233|13627
68571|11684
91782|6801
61433|11897
52781|13523
11455|7016
68184|9697
49551|11633
25325|13088
36849|8841
27131|11836
48181|13463
33649|8041
13809|11678
68392|13515
22202|16899
57465|9391
85133|8815
26230|4829
54023|13669
1661|12211
42264|8939
1396|11903
80176|8891
48595|11612
64039|17480
41734|11624
66294|11210
25419|11568
58028|10196
